popularity,budget,revenue,runtime,release_date,vote_count,vote_average
32.985763,150000000,1513528810,124,2015-06-09,5562,6.5
28.419936,150000000,378436354,120,2015-05-13,6185,7.1
13.112507,110000000,295238201,119,2015-03-18,2480,6.3
11.173103999999999,200000000,2068178225,136,2015-12-15,5292,7.5
9.335014,190000000,1506249360,137,2015-04-01,2947,7.3
9.1107,135000000,532950503,156,2015-12-25,3929,7.2
8.654359,155000000,440603537,125,2015-06-23,2598,5.8
7.6674,108000000,595380321,141,2015-09-30,4572,7.6
7.40416499999999,74000000,1156730962,91,2015-06-17,2893,6.5
6.326804,175000000,853708609,94,2015-06-09,3935,8.0
6.200282,245000000,880674609,148,2015-10-26,3254,6.2
6.189369,176000003,183987723,124,2015-02-04,1937,5.2
6.118847,15000000,36869414,108,2015-01-21,2854,7.6
5.984995,88000000,243637091,105,2015-07-16,1575,5.8
5.944927,280000000,1405035767,141,2015-04-22,4304,7.4
5.8984,44000000,155760117,167,2015-12-25,2389,7.4
5.749758,48000000,325771424,109,2015-01-01,1578,6.1
5.5731839999999995,130000000,518602163,115,2015-07-14,3779,7.0
5.556818,95000000,542351353,112,2015-03-12,1495,6.8
5.476958,160000000,650523427,136,2015-11-18,2380,6.5
5.4621379999999995,190000000,209035668,130,2015-05-19,1899,6.2
5.337064,30000000,91709827,123,2015-06-15,1386,7.3
4.907832,110000000,470490832,114,2015-05-27,2060,6.1
4.71040199999999,40000000,569651467,125,2015-02-11,1865,5.3
4.648046,28000000,133346506,130,2015-12-11,1545,7.3
4.566713,150000000,682330139,131,2015-07-23,2349,7.1
4.5645489999999995,68000000,215863606,115,2015-06-25,1666,6.3
4.503789,81000000,403802136,130,2015-01-24,3833,7.6
4.062293,20000000,88346473,128,2015-11-06,1559,7.8
3.968891,61000000,311256926,132,2015-09-09,1849,6.4
3.899557,49000000,102069268,120,2015-03-04,1990,6.6
3.877764,29000000,287506194,115,2015-05-07,1264,6.8
3.6482099999999997,40000000,162610473,141,2015-10-15,1638,7.1
3.6445410000000003,58000000,150170815,103,2015-08-05,600,6.2
3.557846,6000000,35401758,117,2015-10-16,1520,8.0
3.3391349999999997,175000000,331926147,93,2015-11-14,1087,6.6
3.23737,50000000,71561644,114,2015-03-11,814,6.3
3.227329,11000000,62076141,111,2015-11-04,754,7.3
3.2027189999999996,28000000,201634991,147,2015-08-13,918,7.7
3.080505,90000000,140396650,106,2015-10-21,879,5.6
3.0795220000000003,30000000,34441873,122,2015-10-09,1035,6.9
3.0534209999999997,75000000,108145109,116,2015-08-13,1548,7.0
3.025852,25000000,42629776,112,2015-04-16,1221,7.3
3.023253,10000000,14333790,97,2015-09-12,396,5.9
2.976436,135000000,368871007,94,2015-03-18,1060,6.9
2.968254,12000000,85512300,109,2015-07-09,1252,6.2
2.8851259999999996,4000000,9064511,118,2015-10-08,638,6.6
2.883233,11800000,40272135,118,2015-11-20,562,7.1
2.8148020000000002,35000000,194564672,121,2015-09-24,1255,7.1
2.7980169999999998,55000000,203427584,121,2015-09-10,1172,6.7
2.793297,60000000,101134059,124,2015-12-24,1001,6.4
2.6144990000000004,105000000,133718711,114,2015-12-03,505,5.5
2.584264,20000000,36606743,100,2015-10-02,631,6.3
2.578919,26000000,30523226,116,2015-07-10,719,6.2
2.575711,60000000,30418560,106,2015-01-21,696,5.3
2.557859,15000000,64191523,120,2015-11-27,867,7.3
2.5507470000000003,70000000,17752940,133,2015-01-13,584,5.0
2.487849,30000000,84025816,121,2015-09-17,1479,7.1
2.4870419999999998,120000001,167977596,100,2015-08-05,1565,4.4
